set_id,point_idx,x_offset,y_offset,z_offset,side,avg_w_center,avg_w_fusion,selection_frequency,avg_rank,ranks,num_selected,num_total
0,0,1.7333321827312744,0.008729833133371612,1.5499156256372868,right,2.3371299218739847,2.107233094619,0.0,nan,[],0,6
0,1,3.085910948500077,0.007842289011644743,1.479115065467432,left,2.3757991461841814,2.1066316269408483,0.0,nan,[],0,6
0,2,1.9284371760255157,0.8605324907810203,0.8367185564737077,left,2.3700668939823486,2.1051709197224806,0.0,nan,[],0,6
0,3,1.6792844730731282,0.03792180556300717,1.6637328890792553,right,2.3293809372532293,2.1066316269408483,0.0,nan,[],0,6
0,4,-0.02874481168660925,-0.015149922571029095,2.2406581285081875,left,2.369000909454854,2.1079385755046514,0.16666666666666666,1.0,[1],1,6
0,5,0.31014176962703344,-0.12181469926675881,1.7153140153670494,left,2.369440757254902,2.1051709197224806,0.0,nan,[],0,6
0,6,-0.8802956111454748,-0.1135382974050404,1.4317322112593238,left,2.3472871428240625,2.106519264847128,0.0,nan,[],0,6
0,7,1.7507358539129805,0.6402135541162219,0.6413543218277976,left,2.372471207084503,2.1051709197224806,0.16666666666666666,4.0,[4],1,6
0,8,3.1185300950117663,0.7059088134946507,2.297819050531398,left,2.3615263386772436,2.1066316269408483,0.0,nan,[],0,6
0,9,0.023904929868625358,-0.5106581106580748,1.8399002565610532,left,2.363315180143473,2.1062664501362565,0.0,nan,[],0,6
0,10,1.2484496085859256,-0.4793012693176042,1.523312451737624,left,2.3664458001593283,2.1063394854971746,0.16666666666666666,3.0,[3],1,6
0,11,0.5187528412272484,0.5749952444184561,1.4213285838601908,left,2.3539912238505836,2.106519264847128,0.3333333333333333,4.5,"[5, 4]",2,6
0,12,1.4292628591352976,0.15186182848523233,1.4399026350771353,right,2.3787302228227634,2.1080923341592164,0.16666666666666666,1.0,[1],1,6
0,13,-0.6479221659130066,-0.020747728150375067,1.5187866081968981,right,2.373598591774899,2.1090661389714613,0.0,nan,[],0,6
0,14,0.14339967987743596,-0.3445939492227897,1.598273364421138,left,2.364921529900791,2.1067644185061547,0.0,nan,[],0,6
0,15,-0.4269486685022058,-0.6743726210979296,1.713343083609538,right,2.3651464839340153,2.106923768384522,0.0,nan,[],0,6
0,16,-0.9419118139254042,0.1917313347088977,1.5164586541186942,left,2.3349546140740958,2.107016023577261,0.0,nan,[],0,6
0,17,-0.04049737496344652,0.46840197874160094,1.4704360169406057,left,2.328226196488349,2.1072330946189997,0.0,nan,[],0,6
0,18,-0.631540576361583,0.5187072778201027,2.1284318107238236,right,2.3719863727405377,2.106923768384522,0.16666666666666666,1.0,[1],1,6
0,19,3.3062420767216176,0.4081844132114596,1.4377094846041243,left,2.358106239417281,2.1076749892396824,0.0,nan,[],0,6
0,20,-0.8684221672003253,0.7737837239076517,0.03310868424210214,left,2.3652261835003983,2.1086766170465636,0.16666666666666666,0.0,[0],1,6
0,21,-0.5143988584799011,-0.257696507478818,1.1991011113465528,left,2.3874903639771348,2.107016023577261,0.0,nan,[],0,6
0,22,2.8021243360745185,-0.5239445678893728,1.868212904658798,left,2.3490951443618364,2.10620200717074,0.0,nan,[],0,6
0,23,0.410569226614387,-0.30672979700867,1.4495489071975132,left,2.339406655113203,2.1078001927155428,0.0,nan,[],0,6
0,24,3.1472716033886767,-0.3532918193827234,2.1838541987211304,left,2.365650255685353,2.108457510963808,0.0,nan,[],0,6
0,25,1.479944830699441,0.04161397461289562,0.9255946522699446,left,2.3454716725049463,2.1051709197224806,0.0,nan,[],0,6
0,26,-0.6602861250291971,-0.48640082314777666,2.177790334438201,right,2.3554271639543676,2.1062664501362565,0.0,nan,[],0,6
0,27,2.5676765021536454,0.5493658495261289,0.3929653901502884,right,2.320308457045188,2.1076749892396824,0.0,nan,[],0,6
0,28,-0.16718101008647424,-0.622036539005686,1.9766442092796024,right,2.34948918090636,2.1060934716498707,0.16666666666666666,5.0,[5],1,6
0,29,-0.25173228677722004,0.6831912874415336,2.011984941585523,left,2.354385963846339,2.109553041377584,0.0,nan,[],0,6
0,30,2.3357184040373635,0.8221358097734335,1.8434666594518667,right,2.4047939925095725,2.1086766170465636,0.0,nan,[],0,6
0,31,1.0796010727714713,0.24837687564832212,1.103171769410358,left,2.342711855208793,2.107118529346971,0.16666666666666666,2.0,[2],1,6
0,32,2.8299224243261634,-0.668117820772018,1.517785846330822,left,2.362732963824015,2.1076749892396824,0.0,nan,[],0,6
0,33,3.402648012776778,0.013909459206008501,2.0194970073978173,left,2.3480906759240483,2.107118529346971,0.16666666666666666,5.0,[5],1,6
0,34,3.392203507705438,0.9304411125095384,2.1602459638183875,right,2.384784492549075,2.1051709197224806,0.0,nan,[],0,6
0,35,0.5512721938484559,-0.3553954151985904,2.0656362645243185,right,2.370013151775034,2.1082641820672596,0.0,nan,[],0,6
0,36,-0.08725589170746251,0.9595818856969724,0.5191817953015864,left,2.3417340571292975,2.1077677325551343,0.0,nan,[],0,6
0,37,-0.6593336480032554,0.9119172699572109,0.24939110634573103,left,2.3655731033143916,2.106144724534726,0.16666666666666666,3.0,[3],1,6
0,38,1.2867880192978216,0.8891612314167845,1.893938013308889,right,2.4457079035940694,2.1051709197224806,0.6666666666666666,0.75,"[0, 2, 0, 1]",4,6
0,39,2.2933851135410652,0.8415940561223156,0.801928660059161,left,2.359313711896939,2.1051709197224806,0.3333333333333333,1.0,"[0, 2]",2,6
0,40,-0.5231820284006069,0.9659058148016808,0.437635766125366,right,2.3703068847469075,2.1059012733316647,0.0,nan,[],0,6
0,41,-0.29166357053640146,0.4211077522055686,1.7781998967737325,left,2.364449735487131,2.1083579172898284,0.0,nan,[],0,6
0,42,1.6849194933925,0.62037450356926,1.2732787411503939,left,2.367690229150757,2.106923768384522,0.0,nan,[],0,6
0,43,2.8658709526378026,0.14711167240270318,2.2086485754648226,right,2.382929209336738,2.1051709197224806,0.16666666666666666,0.0,[0],1,6
0,44,1.433455092579278,-0.09121993686632124,2.1796840495812284,left,2.362072718983407,2.1051709197224806,0.0,nan,[],0,6
0,45,0.795658197965524,0.3608610210337706,0.46313026805144253,right,2.386623862038831,2.1051709197224806,0.5,2.6666666666666665,"[3, 3, 2]",3,6
0,46,2.4546568346339694,-0.2600974382917487,1.581350741725867,left,2.363413428617864,2.1082641820672596,0.0,nan,[],0,6
0,47,2.710824578906374,0.612224733889936,1.5188451421817182,right,2.337951026243332,2.107118529346971,0.0,nan,[],0,6
0,48,1.8028708424366582,0.26454339753886014,1.2209490762181587,right,2.3476752689687252,2.106519264847128,0.3333333333333333,0.5,"[1, 0]",2,6
0,49,3.2882023407509138,0.9711436455723166,0.588165885244709,left,2.352550253403093,2.1083579172898284,0.16666666666666666,4.0,[4],1,6
1,0,3.4060685947640597,-0.26602359713503837,2.089724647386965,right,2.364765486119794,2.109295269515519,0.0,nan,[],0,6
1,1,-0.8133896831246054,0.6179199179318127,1.1601976255973152,right,2.4165238359172485,2.1066316269408483,0.3333333333333333,2.5,"[4, 1]",2,6
1,2,2.8466698240339188,-0.033137888851473285,1.8224725514535751,right,2.3919474427717553,2.113260990470364,0.0,nan,[],0,6
1,3,1.5379873012130867,0.4415991752261643,1.5783492398212469,left,2.364292721245286,2.109553041377584,0.16666666666666666,4.0,[4],1,6
1,4,-0.3756553760368022,-0.571713684623064,1.5248389883277969,left,2.3625502353195285,2.107016023577261,0.16666666666666666,4.0,[4],1,6
1,5,1.7660186463264442,-0.3734900264142933,1.4603103974586689,left,2.340669459257693,2.1080923341592164,0.3333333333333333,3.0,"[1, 5]",2,6
1,6,3.1722876670917355,0.25602654516589607,2.185629847198891,right,2.351224192410429,2.107867609971775,0.0,nan,[],0,6
1,7,1.0391202832992517,-0.5084569708635185,1.9876920058564855,right,2.347145976900195,2.1051709197224806,0.16666666666666666,3.0,[3],1,6
1,8,2.0372999961194806,0.7623836135571669,0.9165056525020348,right,2.4203705518752994,2.1051709197224806,0.3333333333333333,0.5,"[1, 0]",2,6
1,9,2.4454827573105047,-0.3986675714574057,1.6396537160519387,right,2.369080124586454,2.1062664501362565,0.0,nan,[],0,6
1,10,-0.5879500190523553,0.7515177813744938,0.05944248284825292,left,2.348325575434485,2.107508051271869,0.0,nan,[],0,6
1,11,3.858220698375181,0.3164073918340977,0.3974194343788645,right,2.320425810743175,2.106519264847128,0.0,nan,[],0,6
1,12,0.6974099516812586,0.6742777988573794,1.22150841126303,right,2.37343228472425,2.1110137485959517,0.3333333333333333,4.0,"[5, 3]",2,6
1,13,2.2300005046813114,-0.4407141260919684,1.444675064862009,left,2.373440252757344,2.1080923341592164,0.0,nan,[],0,6
1,14,-0.8576176878156802,0.5809884502872666,1.6329467234764625,left,2.3745376250679304,2.1067644185061547,0.16666666666666666,2.0,[2],1,6
1,15,-0.8770968586213448,0.2906925228253271,0.20633146462406918,left,2.3539082809301006,2.1078001927155428,0.0,nan,[],0,6
1,16,1.9198954938207429,0.1873798633399817,1.5209852054052804,left,2.344369290605543,2.1051709197224806,0.0,nan,[],0,6
1,17,0.6630485846471066,-0.1937578771926851,1.922253531634258,left,2.3516898486188444,2.1072330946189997,0.0,nan,[],0,6
1,18,2.092501992700623,-0.4934176524215206,1.8319886286318736,right,2.3619673636935468,2.106923768384522,0.0,nan,[],0,6
1,19,-0.4324054065868945,0.10050024157556992,1.4077003496045282,right,2.3234385589733466,2.1076749892396824,0.0,nan,[],0,6
1,20,-0.9064452859149771,-0.19088502200378177,0.9802379798499415,right,2.3584384154326057,2.110429465708605,0.0,nan,[],0,6
1,21,3.568282092312944,0.09583971453031581,0.08110351887879158,left,2.3606751980293925,2.107016023577261,0.0,nan,[],0,6
1,22,1.0376294419440715,0.6087385309676461,0.7959138989802085,right,2.3842653171218533,2.1103263569637787,0.0,nan,[],0,6
1,23,3.3800908323284187,0.5840486794910948,1.1663537774875332,right,2.302347099296185,2.1078001927155428,0.0,nan,[],0,6
1,24,-0.5447750320488262,0.24051299148481664,2.094035276882418,left,2.3597548780887228,2.109553041377584,0.0,nan,[],0,6
1,25,2.079975045509191,0.21654161389872206,2.033984207036356,left,2.3856228987939856,2.1103263569637787,0.16666666666666666,6.0,[6],1,6
1,26,2.8789777100824336,0.4910818400263661,0.7764491055038095,right,2.3485236363991167,2.1051709197224806,0.0,nan,[],0,6
1,27,-0.9366923575620592,0.15312750577730272,0.32304851619842595,left,2.333234409747813,2.107674989239683,0.0,nan,[],0,6
1,28,2.8700925703966678,-0.5217396845717389,1.6151206077875948,left,2.3457471764244207,2.107938575504651,0.16666666666666666,2.0,[2],1,6
1,29,1.1916950541326714,0.2091780561201313,1.6920070517473516,right,2.3496693190241955,2.1080923341592164,0.0,nan,[],0,6
1,30,3.1696130020342146,0.9261680457022461,0.34986935306008016,left,2.3678985304564093,2.1078001927155428,0.16666666666666666,3.0,[3],1,6
1,31,3.195045564584383,0.4809790052310494,0.14215409623181222,right,2.3719082949886743,2.1090661389714613,0.0,nan,[],0,6
1,32,1.6641090290711986,0.36580571745906165,0.10224835432344458,left,2.3710904407944504,2.1101790587568843,0.16666666666666666,0.0,[0],1,6
1,33,-0.6853400322096439,-0.6533260693325067,0.033594189299879694,left,2.3573323774891444,2.107118529346971,0.16666666666666666,2.0,[2],1,6
1,34,-0.9089411996208354,-0.29320835388028843,1.4356491272542813,left,2.341352320884221,2.1086766170465636,0.0,nan,[],0,6
1,35,2.2271652082905344,0.6557300652659364,2.2201738096230597,left,2.4101466270114393,2.10620200717074,0.16666666666666666,0.0,[0],1,6
1,36,2.8004091266991518,0.2851016178058954,2.2973783451469205,right,2.332322029966625,2.1090661389714613,0.0,nan,[],0,6
1,37,0.629796333600575,0.27929972585522755,1.1144263285715537,right,2.425670282381135,2.1119875534081967,0.5,1.0,"[0, 0, 3]",3,6
1,38,2.283517896518328,0.7462213660988828,0.5289446266889787,left,2.3703316278374675,2.1101790587568843,0.0,nan,[],0,6
1,39,0.46201562970891596,0.22328951693605814,1.8414174404841797,left,2.369044710351042,2.108457510963808,0.3333333333333333,2.0,"[2, 2]",2,6
1,40,2.4790105947974825,0.14616166879331882,1.325079801821844,right,2.3395823923617987,2.109553041377584,0.16666666666666666,0.0,[0],1,6
1,41,1.6640776315658639,-0.36145874554046037,2.193693912442454,left,2.370688707231432,2.1051709197224806,0.0,nan,[],0,6
1,42,1.152795191179452,0.7482069766822916,0.7444554981445928,left,2.4005434585415415,2.1078001927155428,0.5,1.6666666666666667,"[1, 3, 1]",3,6
1,43,1.2019647873143744,-0.3245829219412008,1.649555725086597,left,2.383437645120809,2.1083579172898284,0.16666666666666666,4.0,[4],1,6
1,44,-0.0126515890852682,0.00686764072087398,1.8273241515044858,right,2.347859100436144,2.1051709197224806,0.16666666666666666,5.0,[5],1,6
1,45,3.828339540661556,0.5305525020679269,1.8728585258322026,right,2.323333725426888,2.1051709197224806,0.0,nan,[],0,6
1,46,1.1086563332683812,0.7834861611886432,2.006210833024533,right,2.367248736931915,2.1082641820672596,0.16666666666666666,1.0,[1],1,6
1,47,2.3758900873605624,0.010369675383135712,1.4700649235166205,left,2.3828119900660565,2.1080923341592164,0.0,nan,[],0,6
1,48,-0.8182709296621812,-0.603408367456413,0.23404101690599133,left,2.3631103100161805,2.1119126453457167,0.16666666666666666,2.0,[2],1,6
1,49,0.9125394537631946,-0.3597176180728964,1.6775321879979963,right,2.33714996265195,2.1083579172898284,0.0,nan,[],0,6
2,0,-0.8265615237303922,0.9678977995829101,1.1036616532904575,left,2.5924554712176757,2.1062020071707406,0.5,1.0,"[0, 0, 3]",3,6
2,1,2.260142746753902,0.03186998500373717,1.568208707172756,right,2.575225530635961,2.1080923341592164,0.0,nan,[],0,6
2,2,-0.38308741587813133,0.23073429512359456,0.9973463276197972,left,2.5812457805616096,2.107867609971775,0.3333333333333333,1.0,"[1, 1]",2,6
2,3,-0.7495097274309861,-0.540244979780818,0.679612136729763,left,2.6090749199777195,2.109553041377584,0.16666666666666666,2.0,[2],1,6
2,4,2.8915203842275172,0.8868086414269782,1.9500762488076506,right,2.5975797785660166,2.1051709197224806,0.0,nan,[],0,6
2,5,1.8997782555360785,0.5797528086888726,1.6435552965809357,left,2.5936060874107563,2.1051709197224806,0.16666666666666666,3.0,[3],1,6
2,6,3.355575133393982,0.11481506965709865,0.18144059671200038,left,2.596417589764085,2.1092159550964222,0.0,nan,[],0,6
2,7,0.6125185276312226,-0.3903841337913273,2.2232848860070664,left,2.5830761354095224,2.1076749892396824,0.0,nan,[],0,6
2,8,1.8217616411820585,0.8575406451007506,0.7257087980458983,right,2.5823618202665592,2.1051709197224806,0.3333333333333333,1.5,"[1, 2]",2,6
2,9,3.1831874817557955,-0.32937005901209776,2.156952346903054,right,2.5713598488841285,2.1073619805500323,0.16666666666666666,3.0,[3],1,6
2,10,2.3364432014143497,0.8646937793780791,1.6338200645316965,left,2.5851615558437278,2.109845182821257,0.0,nan,[],0,6
2,11,0.5004508060280808,0.06825826920685518,0.8856729232413594,left,2.5807958597504363,2.107867609971775,0.16666666666666666,8.0,[8],1,6
2,12,-0.3639811407845319,0.2880192507573236,0.5329275888241137,left,2.592466226378051,2.1066316269408483,0.16666666666666666,7.0,[7],1,6
2,13,-0.6581197417826276,0.9332967731619022,0.8172190375980151,left,2.59767346322545,2.109066138971462,0.3333333333333333,3.0,"[2, 4]",2,6
2,14,0.6601046126801196,0.028586177268228985,1.5151064883578185,left,2.5911043963282587,2.1083579172898284,0.0,nan,[],0,6
2,15,3.3519254259478286,-0.6771415973203793,2.127310630929175,right,2.574187899268313,2.1086766170465636,0.16666666666666666,5.0,[5],1,6
2,16,2.5027586431573363,0.62908504211532,2.1899592651969138,right,2.592653792947201,2.1051709197224806,0.0,nan,[],0,6
2,17,3.0326743892760426,-0.16171390132178975,1.9749677352961017,right,2.586979596310498,2.1082641820672596,0.0,nan,[],0,6
2,18,2.559335567340218,0.010206859220911024,1.95676334713672,right,2.5769443753845547,2.106923768384522,0.0,nan,[],0,6
2,19,1.0946564824412546,-0.2528554029645846,1.93098049997083,left,2.609418796051355,2.1089270239982834,0.16666666666666666,0.0,[0],1,6
2,20,2.7567863568729667,-0.1277139373893511,2.166237295214769,left,2.5734854275099734,2.106923768384522,0.0,nan,[],0,6
2,21,1.6158664688479263,0.6982931336011833,1.8831836306736465,left,2.59103186098382,2.1060934716498707,0.16666666666666666,5.0,[5],1,6
2,22,-0.5444026171173224,-0.22511638310254217,1.612132261275384,right,2.595191991117264,2.109295269515519,0.0,nan,[],0,6
2,23,0.7269992855172378,0.4179054104209481,0.41437031438257005,right,2.596563297048982,2.1113058900396253,0.0,nan,[],0,6
2,24,1.9059810705927935,-0.1122742650792099,2.2491814048990326,left,2.5871501162356485,2.109553041377584,0.0,nan,[],0,6
2,25,3.5406354768416053,0.17008005893166445,0.18022412109463437,left,2.5817976935610587,2.107233094619,0.0,nan,[],0,6
2,26,-0.06816824687171175,0.18480139472976675,1.957590052895307,left,2.6006754848280624,2.108457510963808,0.3333333333333333,4.0,"[6, 2]",2,6
2,27,3.806458246706817,0.0285269666948883,2.233079863014337,left,2.598048303115192,2.1064229544810815,0.16666666666666666,7.0,[7],1,6
2,28,1.2135222787405322,0.6230625560644449,0.44424546692905914,left,2.5829102407676103,2.1070160235772613,0.16666666666666666,4.0,[4],1,6
2,29,0.11834205020784161,0.45986168752723566,1.906442413963297,right,2.5982760266095135,2.109553041377584,0.3333333333333333,6.0,"[4, 8]",2,6
2,30,0.11790515550811032,0.9423842554136614,2.071042993877253,right,2.5770183002052836,2.1078001927155428,0.16666666666666666,9.0,[9],1,6
2,31,1.8778660669839384,0.18462464434068326,1.4499236356097922,right,2.6014367908530622,2.107118529346971,0.0,nan,[],0,6
2,32,1.854308356079664,0.24526019163954282,0.688851051604811,left,2.604307074178739,2.1076749892396824,0.16666666666666666,0.0,[0],1,6
2,33,0.5203534034338273,-0.17287623447944367,2.2305398558387792,left,2.5883981624972203,2.1080923341592164,0.0,nan,[],0,6
2,34,1.0784152710206287,-0.5699488557614815,2.1010737510080757,left,2.5948146331398267,2.1104294657086045,0.0,nan,[],0,6
2,35,0.3146363818176898,0.9905528867522992,1.6468666285975484,left,2.5791835122452778,2.1062020071707406,0.0,nan,[],0,6
2,36,-0.326304135099005,0.3468693625297192,1.3796981119277332,left,2.587763723024029,2.109715342179625,0.16666666666666666,10.0,[10],1,6
2,37,0.05186303418840832,0.09998167838929561,2.0011584629570884,left,2.598195220704039,2.1051709197224806,0.16666666666666666,6.0,[6],1,6
2,38,-0.08592546250718669,-0.17459339714014055,0.24704157062094906,right,2.584637262412677,2.1076749892396824,0.16666666666666666,0.0,[0],1,6
2,39,0.9009582399131331,0.46344845898851794,0.6915626180461147,right,2.60829430391336,2.11064857179136,0.6666666666666666,4.0,"[0, 3, 2, 11]",4,6
2,40,1.0316926092286813,0.8725444091321963,0.7964519565856313,left,2.6058394517936563,2.1080923341592164,0.5,6.0,"[1, 5, 12]",3,6
2,41,-0.6821394350699469,-0.38237255812577425,2.2710335979583327,left,2.607552291881173,2.1083579172898284,0.0,nan,[],0,6
2,42,0.8833043419914253,0.8148156570913736,1.3039933337066845,right,2.5857739936554744,2.1086766170465636,0.3333333333333333,4.0,"[3, 5]",2,6
2,43,1.6219338141605144,0.9202787552848126,1.4451162186542614,left,2.574138718697664,2.1067644185061547,0.16666666666666666,4.0,[4],1,6
2,44,0.5581741477346216,0.12000489781751578,1.6092507322007095,right,2.6109796712765143,2.1089270239982834,0.16666666666666666,13.0,[13],1,6
2,45,0.8498839726118472,0.5482765153878404,1.4916106041655648,left,2.609792213275982,2.107867609971775,0.16666666666666666,1.0,[1],1,6
2,46,1.4278689003853526,0.5293635579362945,2.2146730263651944,left,2.58584358524016,2.1103263569637787,0.16666666666666666,6.0,[6],1,6
2,47,-0.5358294663557219,0.07055748848843446,0.7206681757197134,right,2.5964819605530303,2.1080923341592164,0.16666666666666666,1.0,[1],1,6
2,48,1.1682683994629155,0.7202844018804493,0.7592473666236854,right,2.588580603860071,2.107867609971775,0.16666666666666666,4.0,[4],1,6
2,49,3.7203085546322834,0.710787910734435,1.1950458923829705,left,2.6003687174532044,2.1083579172898284,0.0,nan,[],0,6
3,0,2.4760019744576223,-0.18510890576507888,1.6936764349852453,left,2.7283145074266404,2.10620200717074,0.0,nan,[],0,6
3,1,3.230851668278639,0.5373728084415395,2.136261005402862,left,2.798913056766096,2.1051709197224806,0.16666666666666666,0.0,[0],1,6
3,2,1.5094287655143273,0.5797294160230555,0.6472904343393212,right,2.778896473429068,2.1051709197224806,0.16666666666666666,4.0,[4],1,6
3,3,2.647962613189609,0.8844939665749034,2.10967302789528,left,2.8312129008355176,2.1051709197224806,0.16666666666666666,0.0,[0],1,6
3,4,1.5122988022753163,0.17379077322676173,0.953747489087238,right,2.728727413568713,2.107016023577261,0.0,nan,[],0,6
3,5,0.7356519569622093,0.021112609823031758,2.065427787551377,left,2.7809956872260586,2.1066316269408483,0.16666666666666666,1.0,[1],1,6
3,6,1.7969692677458626,0.16878764402333457,1.2362048826908505,right,2.714367338507112,2.106519264847128,0.0,nan,[],0,6
3,7,1.213256213766555,-0.046149886437467535,1.9543646950421678,left,2.6900960498284445,2.1101790587568843,0.0,nan,[],0,6
3,8,2.3338490884512066,0.19621941993696335,1.7784631718764783,left,2.707810887634483,2.1066316269408483,0.0,nan,[],0,6
3,9,0.4115395605621588,0.8027129694626072,0.25518240499427075,left,2.675790773912107,2.1062664501362565,0.16666666666666666,6.0,[6],1,6
3,10,3.2028977991651715,0.13326257206950198,0.1583478733049049,right,2.730148709364469,2.1063394854971746,0.0,nan,[],0,6
3,11,3.806057667367333,0.15778790626029937,1.0312828096232902,left,2.6747144603442656,2.107867609971775,0.0,nan,[],0,6
3,12,3.9996533302195374,-0.10234421691527162,1.7056748134803266,left,2.7034939587790494,2.1051709197224806,0.0,nan,[],0,6
3,13,1.3975209126115988,0.8502934413394989,1.580924973894294,left,2.7487719983414958,2.106144724534726,0.16666666666666666,1.0,[1],1,6
3,14,-0.45862653467747394,-0.026617053083119457,0.3733762844508388,right,2.728058203623121,2.1067644185061547,0.16666666666666666,5.0,[5],1,6
3,15,0.0793972196359487,0.456989528772235,0.6193407374217643,right,2.7096947048164117,2.106923768384522,0.16666666666666666,4.0,[4],1,6
3,16,0.043181110738929274,0.27103744452593903,0.2697467448466308,left,2.715804977323726,2.1060934716498707,0.16666666666666666,4.0,[4],1,6
3,17,-0.05568733367560996,-0.6480653313143543,1.6560688029811117,left,2.6929077629219567,2.10620200717074,0.0,nan,[],0,6
3,18,0.4488322526094515,0.8156291805709432,1.2790846023282847,right,2.822720926239166,2.1051709197224806,0.6666666666666666,2.5,"[1, 1, 6, 2]",4,6
3,19,-0.8832326356201528,0.6006312356072916,1.954211171247621,right,2.7446479287102377,2.1064229544810815,0.0,nan,[],0,6
3,20,0.2188378232824455,0.09683757256585446,1.005648776076711,right,2.7295882668741114,2.106923768384522,0.16666666666666666,3.0,[3],1,6
3,21,-0.17094912052728695,0.6644263195357607,0.941100560179668,right,2.7214260749452226,2.1079385755046514,0.0,nan,[],0,6
3,22,-0.5200185380029828,0.9702300672348194,0.7227723669932605,left,2.8066441480879,2.1072330946189997,0.16666666666666666,1.0,[1],1,6
3,23,2.6446069795932305,0.30459919521617973,0.9008330611418095,right,2.7326987524709625,2.106047344053501,0.16666666666666666,3.0,[3],1,6
3,24,-0.1797693918888218,-0.360412515059813,1.4937269531380772,right,2.7742314579885066,2.1051709197224806,0.0,nan,[],0,6
3,25,2.882871844686451,-0.5279815797424883,1.5050103084535018,right,2.756310336869845,2.10620200717074,0.0,nan,[],0,6
3,26,3.574271886933837,0.45054676498568647,0.22041685117285784,right,2.6878475490791645,2.1062664501362565,0.0,nan,[],0,6
3,27,1.7526851913243293,-0.2762785685206228,1.7921279509849903,left,2.75337426512441,2.1089270239982834,0.0,nan,[],0,6
3,28,1.6118872444995271,0.3979245529044886,1.8261466470105179,left,2.7059016670975082,2.1060934716498707,0.0,nan,[],0,6
3,29,3.1752218984217055,0.5150569717679139,1.4793006977910088,left,2.7772365992818293,2.1066316269408483,0.0,nan,[],0,6
3,30,3.7575967067140716,0.7791804075626605,1.335872642604303,right,2.7185989998421776,2.106047344053501,0.0,nan,[],0,6
3,31,0.5210629460898506,0.29459630440977913,0.6427309091598329,right,2.7982416797857983,2.1051709197224806,0.5,2.3333333333333335,"[2, 2, 3]",3,6
3,32,3.8287622016452385,0.10700668544642356,1.1389125197186865,right,2.734448165222392,2.1051709197224806,0.16666666666666666,0.0,[0],1,6
3,33,0.05849501665690404,-0.628558294658482,2.1738505689652987,right,2.710339752719833,2.106144724534726,0.0,nan,[],0,6
3,34,1.3133761490372873,0.6745696500053953,2.1127589910275164,left,2.7378889650920883,2.1086766170465636,0.0,nan,[],0,6
3,35,2.137927282883379,0.28667932180911504,1.4890028341155876,left,2.724652663033984,2.1072330946189997,0.0,nan,[],0,6
