set_id,distance,num_points,score_center,score_fusion,point_idx,points
0,15,5,0.5532224774360657,0.0,"[11, 8, 39, 32, 36]","[{'x_offset': 0.7806185720880952, 'y_offset': 0.9223447476735271, 'z_offset': 1.0639480163825714, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}, {'x_offset': 3.187042922824425, 'y_offset': 0.22605107559681026, 'z_offset': 1.6715406995188717, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': -0.22633699121569617, 'y_offset': -0.10634949345253142, 'z_offset': 0.7408969455948129, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': 0.42816987556185104, 'y_offset': 0.9062541356804434, 'z_offset': 1.5571911605338844, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': -0.2286335691104321, 'y_offset': 0.005111919867859083, 'z_offset': 1.3297188024429623, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}]"
0,15,6,0.48964741826057434,0.0,"[11, 8, 39, 32, 36, 14]","[{'x_offset': 0.7806185720880952, 'y_offset': 0.9223447476735271, 'z_offset': 1.0639480163825714, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}, {'x_offset': 3.187042922824425, 'y_offset': 0.22605107559681026, 'z_offset': 1.6715406995188717, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': -0.22633699121569617, 'y_offset': -0.10634949345253142, 'z_offset': 0.7408969455948129, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': 0.42816987556185104, 'y_offset': 0.9062541356804434, 'z_offset': 1.5571911605338844, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': -0.2286335691104321, 'y_offset': 0.005111919867859083, 'z_offset': 1.3297188024429623, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}, {'x_offset': -0.2862967718248324, 'y_offset': 0.8406445632161097, 'z_offset': 0.6186379366581883, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}]"
0,20,1,0.622191846370697,0.10000000149011612,[2],"[{'x_offset': 1.5811493071296665, 'y_offset': 0.8572862192912927, 'z_offset': 1.7956552352625326, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}]"
0,20,2,0.596949577331543,0.10000000149011612,"[2, 7]","[{'x_offset': 1.5811493071296665, 'y_offset': 0.8572862192912927, 'z_offset': 1.7956552352625326, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}, {'x_offset': -0.3080929391827272, 'y_offset': 0.6411079880884891, 'z_offset': 0.263681428143745, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}]"
0,20,3,0.5692501664161682,0.10000000149011612,"[2, 7, 35]","[{'x_offset': 1.5811493071296665, 'y_offset': 0.8572862192912927, 'z_offset': 1.7956552352625326, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}, {'x_offset': -0.3080929391827272, 'y_offset': 0.6411079880884891, 'z_offset': 0.263681428143745, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}, {'x_offset': 1.451029955877058, 'y_offset': -0.5075280205116878, 'z_offset': 1.731139856102441, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}]"
0,25,1,0.6058820486068726,0.10000000149011612,[9],"[{'x_offset': 1.8370364052903407, 'y_offset': -0.06209156640639779, 'z_offset': 2.1073205369810974, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}]"
0,25,2,0.5461049675941467,0.0,"[9, 14]","[{'x_offset': 1.8370364052903407, 'y_offset': -0.06209156640639779, 'z_offset': 2.1073205369810974, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}, {'x_offset': -0.2862967718248324, 'y_offset': 0.8406445632161097, 'z_offset': 0.6186379366581883, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}]"
0,25,3,0.5312983989715576,0.0,"[9, 14, 13]","[{'x_offset': 1.8370364052903407, 'y_offset': -0.06209156640639779, 'z_offset': 2.1073205369810974, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}, {'x_offset': -0.2862967718248324, 'y_offset': 0.8406445632161097, 'z_offset': 0.6186379366581883, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': -0.5036238522478933, 'y_offset': -0.6652649162926672, 'z_offset': 1.4443866872172881, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}]"
0,25,4,0.47785723209381104,0.0,"[9, 14, 13, 32]","[{'x_offset': 1.8370364052903407, 'y_offset': -0.06209156640639779, 'z_offset': 2.1073205369810974, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}, {'x_offset': -0.2862967718248324, 'y_offset': 0.8406445632161097, 'z_offset': 0.6186379366581883, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': -0.5036238522478933, 'y_offset': -0.6652649162926672, 'z_offset': 1.4443866872172881, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': 0.42816987556185104, 'y_offset': 0.9062541356804434, 'z_offset': 1.5571911605338844, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}]"
0,25,5,0.47265908122062683,0.0,"[9, 14, 13, 32, 7]","[{'x_offset': 1.8370364052903407, 'y_offset': -0.06209156640639779, 'z_offset': 2.1073205369810974, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}, {'x_offset': -0.2862967718248324, 'y_offset': 0.8406445632161097, 'z_offset': 0.6186379366581883, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': -0.5036238522478933, 'y_offset': -0.6652649162926672, 'z_offset': 1.4443866872172881, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': 0.42816987556185104, 'y_offset': 0.9062541356804434, 'z_offset': 1.5571911605338844, 'patch_size': 0.0, 'side': 'left', 'stabilize_anchor': False}, {'x_offset': -0.3080929391827272, 'y_offset': 0.6411079880884891, 'z_offset': 0.263681428143745, 'patch_size': 0.0, 'side': 'right', 'stabilize_anchor': False}]"
