set_id,distance,point_rank,point_idx,w_score_center,w_score_fusion,x_offset,y_offset,z_offset,side
0,5,0,10,2.14542039583888,2.1051709197224806,3.4070059690844783,-0.499819816669638,1.9554070330036508,right
0,5,1,23,2.128468652847959,2.1051709197224806,1.8755158305813389,0.16395444562505035,1.0524013697146748,left
0,5,2,21,2.119350288017232,2.1051709197224806,0.9005398352635412,0.10897864580390304,1.6169716343694005,right
0,5,3,0,2.1190193512252025,2.1051709197224806,0.5777004113141628,-0.006412924304620815,1.567007265430134,left
0,5,4,22,2.1188553751798684,2.1051709197224806,1.6374565641127354,0.6839738995714668,0.8822277647924442,right
0,5,5,27,2.1173735343923292,2.1051709197224806,3.8015124241448612,0.38392983682801707,1.2541945392896832,right
0,5,6,43,2.1171741416098193,2.1051709197224806,1.2782541894803483,-0.16076545753371818,2.087207421052968,left
0,5,7,11,2.116672596567874,2.1051709197224806,0.7806185720880952,0.9223447476735271,1.0639480163825714,right
0,5,8,44,2.1159722649690083,2.1051709197224806,1.7750635474831151,0.21674478360271798,1.5770318383879611,left
0,5,9,40,2.1156191641904956,2.1051709197224806,-0.9831516030533329,0.35949467583564054,0.640145375097624,left
0,5,10,17,2.115503549130466,2.1051709197224806,1.187128701080845,-0.30854833438801527,1.5105548965557531,left
0,5,11,12,2.115476430899269,2.1051709197224806,2.5004440954228193,-0.44793274900919555,1.7499675158802142,right
0,5,12,9,2.1150792320335885,2.1051709197224806,1.8370364052903407,-0.06209156640639779,2.1073205369810974,right
0,5,13,35,2.1145233101957315,2.1051709197224806,1.451029955877058,-0.5075280205116878,1.731139856102441,right
0,5,14,6,2.1139706368296194,2.1051709197224806,0.07363277162905657,-0.4868598839332411,1.523376639774603,right
0,5,15,29,2.113824536926659,2.1051709197224806,-0.6104216837990358,-0.2520662836335302,0.9707760046064676,right
0,5,16,16,2.1134266740110066,2.1051709197224806,-0.24582364550242675,0.21545443658744046,0.18026712399761657,left
0,5,17,42,2.1132540778060322,2.1051709197224806,-0.023916859460431872,-0.14812963100523968,0.3356257912903284,left
0,5,18,34,2.1131644845036144,2.1051709197224806,0.8765427693669956,0.41954756459802467,0.6897982365073804,right
0,5,19,1,2.1131265320649413,2.1051709197224806,2.140293058663799,-0.4509074242652201,2.0935788632996557,right
0,5,20,18,2.1118774314002744,2.1051709197224806,1.9904085681774637,0.7260689329276475,2.2113741599893393,right
0,5,21,14,2.111871790400994,2.1051709197224806,-0.2862967718248324,0.8406445632161097,0.6186379366581883,left
0,5,22,15,2.111704391916372,2.1051709197224806,-0.016427210584006535,-0.6782255358340308,0.020766399166198678,left
0,5,23,39,2.111645362674171,2.1051709197224806,-0.22633699121569617,-0.10634949345253142,0.7408969455948129,left
0,5,24,3,2.1112241198021002,2.1051709197224806,3.1296723999366742,-0.03648527552240821,1.8281371368953263,left
0,5,25,48,2.1110944465241377,2.1051709197224806,-0.23121482262733328,-0.4722382405969807,0.5384785042683586,right
0,5,26,36,2.110080447129845,2.1051709197224806,-0.2286335691104321,0.005111919867859083,1.3297188024429623,right
0,5,27,8,2.1088334899588492,2.1051709197224806,3.187042922824425,0.22605107559681026,1.6715406995188717,left
0,5,28,20,2.108817270277223,2.1051709197224806,0.22393769724431611,0.6929315557283509,0.12294554812755384,right
0,5,29,28,2.1077574362107274,2.1051709197224806,0.345220478757827,0.1999727113464882,1.6378797676294041,right
0,5,30,41,2.1073319374526776,2.1051709197224806,1.7942239056116542,-0.23792233343978014,1.4937133055390794,left
0,5,31,30,2.1073152769969425,2.1051709197224806,2.31058302513274,0.7738249128275516,2.1952851368213455,left
0,5,32,31,2.1066894949664645,2.1051709197224806,-0.4604364942773611,0.2418304379840025,0.18012490903426234,left
0,5,33,26,2.106665892998352,2.1051709197224806,0.5836534319047413,0.48786598082680377,1.8413485892136467,left
0,5,34,46,2.105501839019235,2.1051709197224806,0.15248813415882045,-0.39889200640108946,1.7258729522711682,right
0,5,35,45,2.1047373238885108,2.1051709197224806,2.7448695055675807,0.8975317707968311,1.355740221046892,right
0,5,36,2,2.1042702575217147,2.1051709197224806,1.5811493071296665,0.8572862192912927,1.7956552352625326,right
0,5,37,25,2.10419795416674,2.1051709197224806,3.7749650008005577,0.26427079347124804,0.1546916790135972,right
0,5,38,5,2.1035614155145677,2.1051709197224806,2.412269082952266,0.4857259880933138,2.2049020605027567,left
0,5,39,33,2.1035115796385533,2.1051709197224806,2.0692917436234843,0.6847742925966831,2.191944463194803,left
0,5,40,32,2.1028960669193104,2.1051709197224806,0.42816987556185104,0.9062541356804434,1.5571911605338844,left
0,5,41,38,2.1019965608198703,2.1051709197224806,-0.8860867632034183,0.7700915221180147,0.7688112721250582,right
0,5,42,4,2.1017818506527313,2.1051709197224806,2.2616917735799045,0.7214799293196144,1.4742779635185401,left
0,5,43,24,2.1015854152899944,2.1051709197224806,3.3970170328746514,0.6792131633900877,2.153649320305664,left
0,5,44,7,2.0995013986604407,2.1051709197224806,-0.3080929391827272,0.6411079880884891,0.263681428143745,right
0,5,45,49,2.0990576612697875,2.1051709197224806,-0.9261926351048996,-0.5303413426295093,1.5493366997274503,left
0,5,46,13,2.0972773575866595,2.1051709197224806,-0.5036238522478933,-0.6652649162926672,1.4443866872172881,left
0,5,47,47,2.0970966439020504,2.1051709197224806,3.7838335732164587,0.9780064586064756,1.4778129200603694,left
0,5,48,37,2.0951216043015948,2.1051709197224806,0.8574699865538669,0.6005023780463077,1.4280393021008135,left
0,5,49,19,2.095000176932703,2.1051709197224806,-0.6174327242132812,-0.3052802469931098,2.117356050731212,right
0,10,0,16,2.193119365931711,2.1051709197224806,-0.24582364550242675,0.21545443658744046,0.18026712399761657,left
0,10,1,37,2.188854926798091,2.1051709197224806,0.8574699865538669,0.6005023780463077,1.4280393021008135,left
0,10,2,11,2.186696397416589,2.1051709197224806,0.7806185720880952,0.9223447476735271,1.0639480163825714,right
0,10,3,34,2.1824887650726046,2.1051709197224806,0.8765427693669956,0.41954756459802467,0.6897982365073804,right
0,10,4,25,2.181301690997076,2.1051709197224806,3.7749650008005577,0.26427079347124804,0.1546916790135972,right
0,10,5,5,2.179428811044292,2.1051709197224806,2.412269082952266,0.4857259880933138,2.2049020605027567,left
0,10,6,9,2.1776960577216284,2.1051709197224806,1.8370364052903407,-0.06209156640639779,2.1073205369810974,right
0,10,7,20,2.177586494390945,2.1051709197224806,0.22393769724431611,0.6929315557283509,0.12294554812755384,right
0,10,8,41,2.1774737030827156,2.1051709197224806,1.7942239056116542,-0.23792233343978014,1.4937133055390794,left
0,10,9,26,2.1772743577308793,2.1051709197224806,0.5836534319047413,0.48786598082680377,1.8413485892136467,left
0,10,10,45,2.176607392697641,2.1051709197224806,2.7448695055675807,0.8975317707968311,1.355740221046892,right
0,10,11,3,2.1742879578463334,2.1051709197224806,3.1296723999366742,-0.03648527552240821,1.8281371368953263,left
0,10,12,4,2.1718187723049973,2.1051709197224806,2.2616917735799045,0.7214799293196144,1.4742779635185401,left
0,10,13,46,2.1704009506784145,2.1051709197224806,0.15248813415882045,-0.39889200640108946,1.7258729522711682,right
0,10,14,17,2.1681484442440064,2.1051709197224806,1.187128701080845,-0.30854833438801527,1.5105548965557531,left
